Price,VehicleType,YearOfVehicleRegistration,GearBoxType,PowerOfTheEngine,ModelOfTheVehicle,DistranceTravelled,TypeOfTheFuelUsed,BrandOfTheVehicle,IsDamageRepaired
14599.0,6,8,0,170,54,1.0,1,20,0
6666.0,4,2,0,231,9,1.0,6,2,0
2500.0,6,3,1,107,8,1.0,1,25,0
3700.0,6,3,1,101,96,0.31034482758620685,6,10,0
9400.0,6,12,1,116,5,0.5172413793103449,1,2,0
5750.0,7,5,1,126,175,1.0,6,35,0
21500.0,0,12,1,160,23,0.31034482758620685,6,1,0
6800.0,2,9,1,82,95,0.3793103448275862,6,10,0
6150.0,6,6,1,150,54,1.0,1,20,0
13999.0,5,8,1,170,25,1.0,6,1,0
17950.0,4,11,1,143,5,0.5172413793103449,1,2,0
1900.0,2,4,1,60,78,1.0,6,24,0
1699.0,6,3,1,150,1,1.0,6,0,0
10200.0,0,7,1,140,23,1.0,1,1,0
1450.0,2,5,1,58,20,1.0,6,12,0
6990.0,3,6,1,105,207,1.0,1,36,0
3500.0,4,6,1,134,165,1.0,6,4,0
13900.0,0,10,1,170,54,1.0,1,20,0
5500.0,7,3,0,220,206,1.0,6,36,1
3800.0,2,8,1,77,20,0.8275862068965517,6,9,0
12500.0,7,5,1,163,137,1.0,1,20,0
9400.0,6,7,0,231,9,1.0,6,2,0
5200.0,0,6,0,179,26,1.0,1,1,0
7880.0,2,12,1,69,166,0.1724137931034483,6,9,0
8999.0,6,4,0,218,16,1.0,1,2,0
20000.0,3,9,1,174,209,1.0,1,36,0
6500.0,6,8,0,177,9,1.0,1,2,0
2900.0,6,0,1,101,109,1.0,1,36,0
7500.0,2,9,1,69,230,0.24137931034482757,6,35,1
2222.0,0,1,1,75,163,1.0,6,36,0
5200.0,2,8,1,60,163,0.5172413793103449,6,36,0
23500.0,7,11,0,200,158,0.5862068965517242,1,22,0
4500.0,6,2,0,163,13,1.0,1,2,0
12500.0,6,7,1,177,13,0.6551724137931034,1,2,0
9900.0,6,5,0,218,9,0.8275862068965517,6,2,0
3200.0,0,0,1,179,20,1.0,1,1,0
8999.0,6,9,1,105,109,0.8275862068965517,6,36,0
3950.0,2,9,1,68,41,0.31034482758620685,6,35,1
4100.0,0,3,1,143,54,1.0,6,20,0
17000.0,4,4,1,163,193,0.10344827586206896,6,20,0
3600.0,6,1,1,170,26,1.0,6,1,0
3600.0,0,5,1,150,219,1.0,1,24,0
14000.0,5,8,1,200,187,0.5862068965517242,6,36,0
23000.0,5,13,1,122,54,0.034482758620689655,6,20,0
1099.0,0,4,1,81,141,1.0,1,27,0
10000.0,0,10,1,105,109,1.0,6,36,0
1300.0,2,1,1,50,135,1.0,6,36,0
3790.0,5,7,0,71,99,0.5172413793103449,6,32,0
4500.0,6,7,1,101,96,0.8275862068965517,6,10,0
8350.0,6,11,1,86,113,0.44827586206896547,6,30,0
4750.0,0,6,1,105,160,1.0,1,36,0
1499.0,0,4,1,90,96,1.0,1,10,0
5400.0,0,4,0,122,54,1.0,1,20,0
14650.0,4,11,0,122,75,0.24137931034482757,6,21,0
9300.0,3,6,1,105,207,0.6551724137931034,1,36,0
3900.0,5,4,1,116,9,1.0,6,2,0
3690.0,6,7,1,109,8,1.0,1,19,0
12990.0,0,10,1,179,24,0.8275862068965517,6,1,0
5490.0,6,6,1,140,117,1.0,6,36,0
9400.0,0,9,0,170,54,1.0,1,20,0
1999.0,6,1,1,109,8,1.0,6,25,0
2250.0,0,4,1,150,9,1.0,1,2,0
1800.0,6,16,1,75,163,1.0,6,36,0
6999.0,7,4,0,203,20,0.8275862068965517,4,19,0
1700.0,3,2,1,82,126,1.0,1,27,0
4500.0,0,6,1,116,164,0.3793103448275862,6,23,0
7300.0,4,8,1,125,203,0.10344827586206896,6,24,0
8690.0,6,9,1,80,109,0.31034482758620685,6,36,0
2599.0,0,2,1,131,46,1.0,1,36,0
3950.0,3,5,0,177,20,1.0,1,27,0
4390.0,5,1,0,170,69,1.0,6,20,0
2099.0,2,4,1,60,95,1.0,6,10,0
7777.0,0,10,1,105,160,1.0,1,36,0
8800.0,6,10,1,122,109,0.8275862068965517,6,36,0
4399.0,2,11,0,61,99,0.24137931034482757,6,32,0
1900.0,0,5,1,90,20,1.0,1,34,0
2000.0,6,2,0,75,6,0.6551724137931034,6,25,0
3550.0,6,4,1,97,77,1.0,6,35,0
1999.0,6,1,1,170,13,1.0,6,2,0
1599.0,3,5,1,144,61,1.0,1,15,0
20500.0,7,8,1,122,84,0.8275862068965517,1,18,0
1820.0,2,3,1,58,70,0.5862068965517242,6,27,0
8400.0,0,1,0,143,90,1.0,6,20,0
3999.0,0,10,1,60,159,0.44827586206896547,6,9,0
31900.0,6,15,0,184,109,0.034482758620689655,1,36,0
7500.0,0,4,0,177,13,1.0,1,2,0
11600.0,2,15,1,69,78,0.034482758620689655,6,24,0
3000.0,3,5,1,101,223,0.8275862068965517,1,24,0
22100.0,0,9,0,190,26,0.6551724137931034,1,1,0
1950.0,6,0,1,84,37,1.0,6,24,0
4990.0,6,3,0,150,90,1.0,1,20,0
5700.0,2,4,1,116,23,1.0,6,1,0
2499.0,0,0,1,136,9,1.0,1,2,0
16999.0,6,4,0,192,13,1.0,6,2,0
26500.0,6,10,0,170,168,0.5862068965517242,1,1,0
11500.0,4,3,0,170,71,1.0,6,20,0
16999.0,6,12,1,179,37,0.31034482758620685,6,24,0
3450.0,0,5,1,101,109,1.0,1,36,0
2300.0,3,7,1,109,20,1.0,6,5,0
2499.0,6,1,1,60,6,0.6551724137931034,6,25,0
10400.0,5,14,1,99,112,0.10344827586206896,6,12,0
12999.0,6,14,1,116,37,0.1724137931034483,6,24,0
1600.0,6,3,1,83,116,1.0,6,11,0
2384.0,0,1,1,75,163,1.0,6,36,0
3500.0,2,8,1,54,100,0.44827586206896547,6,36,0
9990.0,4,5,1,150,9,1.0,4,2,0
1500.0,0,1,1,100,109,1.0,1,36,0
4400.0,2,3,1,116,75,1.0,6,21,0
1890.0,2,2,1,83,116,1.0,6,11,0
3900.0,0,3,1,116,160,1.0,6,36,0
3200.0,2,1,1,90,156,1.0,6,21,0
15500.0,7,13,1,110,89,0.31034482758620685,1,6,0
9299.0,0,6,0,231,13,1.0,1,2,0
7200.0,3,8,1,145,55,0.31034482758620685,6,10,0
5499.0,6,6,0,170,109,1.0,1,36,0
4500.0,6,8,1,60,94,0.5862068965517242,6,31,0
10490.0,6,5,0,200,109,0.5862068965517242,6,36,0
10900.0,6,8,1,170,109,1.0,1,36,0
7250.0,0,5,0,150,23,1.0,6,1,0
3150.0,6,6,1,140,109,1.0,1,36,0
7600.0,2,11,1,69,11,0.24137931034482757,6,9,0
7990.0,2,13,1,60,213,0.034482758620689655,6,36,0
3600.0,4,4,1,109,6,1.0,6,25,0
2500.0,2,3,1,54,163,0.8275862068965517,6,36,0
5500.0,2,10,1,82,95,1.0,6,10,0
2550.0,3,4,1,75,45,1.0,6,5,0
2800.0,7,3,1,124,20,1.0,6,19,0
1300.0,2,0,1,54,78,1.0,6,24,0
4290.0,6,3,1,150,23,1.0,6,1,0
6700.0,4,7,1,100,96,1.0,6,10,0
8888.0,2,12,1,120,20,0.44827586206896547,6,5,1
7900.0,0,7,0,140,160,1.0,1,36,0
14850.0,0,11,1,170,24,1.0,1,1,0
3000.0,0,4,1,163,24,1.0,6,1,0
8650.0,3,10,1,80,57,0.5862068965517242,6,36,0
5999.0,0,8,1,103,126,1.0,1,27,0
1590.0,2,1,1,98,8,1.0,6,19,0
4200.0,0,4,1,179,24,1.0,1,1,0
2600.0,2,5,1,75,126,1.0,6,27,0
8300.0,3,11,1,130,186,0.3793103448275862,6,27,0
11490.0,3,11,1,86,109,0.1724137931034483,6,36,0
1680.0,2,2,1,58,78,0.8275862068965517,6,24,0
6500.0,6,6,1,116,5,0.8275862068965517,6,2,0
2990.0,6,1,0,118,9,1.0,6,2,0
3399.0,2,7,1,95,20,0.8275862068965517,6,9,0
15000.0,5,9,1,179,25,0.8275862068965517,6,1,0
4500.0,6,8,0,110,96,1.0,1,10,0
9950.0,4,3,1,170,9,0.8275862068965517,6,2,0
6100.0,3,8,1,101,142,0.6551724137931034,1,24,0
5690.0,2,3,1,116,75,1.0,6,21,0
5500.0,4,6,1,116,75,1.0,6,21,1
6900.0,7,6,1,86,118,0.8275862068965517,6,34,0
5799.0,1,5,0,150,234,0.8275862068965517,1,24,0
6900.0,6,5,1,177,13,1.0,6,2,0
4700.0,2,12,1,68,49,0.24137931034482757,6,5,0
32499.0,7,14,0,170,108,0.1724137931034483,1,20,0
13900.0,5,10,1,170,63,0.6551724137931034,1,36,0
1250.0,0,0,1,75,37,1.0,6,24,0
10800.0,0,10,1,136,54,1.0,1,20,0
5500.0,3,5,0,116,189,1.0,1,36,0
4100.0,6,4,1,105,109,1.0,1,36,0
10850.0,4,6,1,140,24,1.0,1,1,0
6999.0,4,8,1,120,6,0.44827586206896547,6,25,0
6350.0,2,8,1,80,78,0.44827586206896547,6,24,0
5250.0,0,4,0,170,54,1.0,1,20,0
4200.0,2,6,1,73,6,0.6551724137931034,6,25,0
8800.0,3,9,1,120,20,0.6551724137931034,1,25,0
1450.0,2,3,1,58,82,1.0,6,8,0
5900.0,4,4,1,147,37,0.8275862068965517,6,24,0
8950.0,3,7,1,140,182,1.0,1,10,0
3190.0,2,5,1,150,95,1.0,6,10,0
10250.0,2,10,1,86,21,0.3793103448275862,6,1,0
19000.0,2,11,1,184,75,0.44827586206896547,6,21,0
6300.0,3,6,1,116,207,0.8275862068965517,6,36,0
3990.0,6,5,1,105,132,1.0,1,30,0
6800.0,3,9,1,120,234,1.0,1,24,0
2450.0,6,4,1,75,109,0.6551724137931034,6,36,0
13490.0,6,9,1,143,5,0.3793103448275862,1,2,0
20600.0,4,11,0,160,23,0.3793103448275862,6,1,0
2450.0,0,2,1,131,160,1.0,1,36,1
1200.0,6,0,1,95,60,1.0,6,22,0
2990.0,3,5,1,170,92,1.0,6,27,0
9290.0,3,6,0,150,198,1.0,1,20,0
2890.0,2,7,1,86,113,1.0,6,30,0
12999.0,6,5,0,210,148,0.5862068965517242,6,10,0
2800.0,6,1,1,163,90,0.8275862068965517,6,20,0
1800.0,1,2,1,101,109,1.0,1,36,1
3950.0,2,10,1,56,212,1.0,4,27,0
6950.0,0,9,1,102,109,0.8275862068965517,6,36,0
7250.0,2,8,1,192,78,0.6551724137931034,6,24,0
4250.0,2,7,0,80,78,0.5172413793103449,6,24,0
2190.0,2,3,0,61,99,0.6551724137931034,6,32,0
13990.0,3,9,0,224,20,1.0,1,20,0
3999.0,4,4,1,136,8,1.0,6,25,0
4000.0,0,2,1,170,9,1.0,6,2,0
3600.0,2,9,1,61,99,0.44827586206896547,6,32,0
6999.0,6,4,0,177,90,1.0,1,20,0
2300.0,5,5,0,61,99,0.8275862068965517,6,32,0
3500.0,6,2,1,150,109,1.0,1,36,0
7500.0,0,3,1,165,20,1.0,1,1,0
4500.0,7,2,1,136,175,1.0,6,35,0
1655.0,0,1,1,101,160,1.0,6,36,0
5700.0,2,9,1,90,78,0.6551724137931034,6,24,0
4000.0,2,6,1,87,230,0.5172413793103449,6,35,0
1600.0,6,1,0,125,23,1.0,6,1,0
2350.0,2,6,1,110,176,1.0,1,15,0
4950.0,0,8,1,140,160,1.0,1,36,0
5600.0,2,9,1,60,95,0.5172413793103449,6,10,0
12800.0,6,8,0,156,54,0.44827586206896547,6,20,0
24500.0,2,15,1,136,75,0.10344827586206896,6,21,0
5950.0,6,7,1,80,109,0.6551724137931034,6,36,0
4750.0,2,7,1,86,113,0.8275862068965517,6,30,0
12700.0,6,11,1,105,109,0.31034482758620685,6,36,0
5000.0,2,7,1,90,78,0.5172413793103449,6,24,0
6290.0,0,5,1,163,9,1.0,1,2,0
1600.0,2,0,1,50,135,0.8275862068965517,6,36,0
1950.0,2,2,1,58,212,1.0,6,27,0
4500.0,3,6,1,64,178,0.3793103448275862,6,31,0
2500.0,0,4,1,101,154,1.0,1,31,0
4000.0,0,1,0,143,54,1.0,1,20,0
6550.0,4,12,1,120,6,0.1724137931034483,6,25,0
16500.0,6,13,1,122,28,0.24137931034482757,6,20,1
2650.0,6,1,1,105,46,1.0,6,36,0
1950.0,0,2,0,150,155,1.0,1,24,0
15500.0,6,10,1,220,115,0.3793103448275862,6,24,0
4000.0,0,7,1,143,14,1.0,1,19,1
3499.0,0,1,1,163,217,1.0,1,37,0
8300.0,6,12,1,87,37,0.3793103448275862,6,24,0
13990.0,6,10,0,170,132,0.6551724137931034,1,30,0
3500.0,0,3,0,204,90,1.0,1,20,0
2350.0,2,2,0,82,28,0.8275862068965517,6,20,0
6000.0,7,2,0,150,79,0.8275862068965517,6,11,0
6450.0,3,6,1,105,207,1.0,1,36,0
14500.0,5,10,0,224,69,1.0,1,20,0
10999.0,2,14,1,69,20,0.1724137931034483,6,24,0
11500.0,4,3,0,163,193,0.24137931034482757,6,20,0
11500.0,0,8,0,143,24,1.0,1,1,0
8900.0,0,6,0,224,26,1.0,1,1,0
2750.0,6,4,1,109,73,1.0,6,22,0
14399.0,7,13,0,135,197,0.1724137931034483,6,15,0
5700.0,6,1,1,163,20,0.44827586206896547,6,20,0
2400.0,0,4,1,131,24,1.0,1,1,0
11900.0,2,11,1,105,21,0.5172413793103449,1,1,0
5500.0,2,10,1,82,95,0.8275862068965517,6,10,0
16990.0,3,5,1,174,209,1.0,1,36,0
3650.0,5,3,1,116,9,1.0,1,2,0
6990.0,0,6,1,163,9,1.0,1,2,0
14500.0,0,11,1,140,23,0.5862068965517242,1,1,0
8650.0,0,7,1,170,160,1.0,1,36,0
2800.0,6,2,1,143,9,1.0,6,2,0
2100.0,6,2,1,131,109,1.0,1,36,0
1500.0,6,5,1,150,1,1.0,1,0,1
9800.0,0,5,0,163,90,0.6551724137931034,6,20,0
5900.0,6,5,1,150,160,0.8275862068965517,6,36,0
5800.0,0,8,1,140,146,1.0,1,10,0
2450.0,2,5,1,75,78,1.0,1,24,0
36999.0,5,15,0,177,20,0.034482758620689655,1,20,0
5450.0,0,6,1,105,160,1.0,1,36,0
1900.0,0,3,1,120,128,1.0,6,27,0
9990.0,0,8,1,109,72,0.8275862068965517,1,21,0
9000.0,4,8,1,136,96,1.0,1,10,0
3550.0,2,7,1,75,78,1.0,1,24,0
2950.0,6,4,1,105,109,1.0,1,36,1
4800.0,3,6,1,120,234,0.8275862068965517,1,24,0
13499.0,6,7,0,231,9,1.0,1,2,0
6000.0,0,5,1,163,9,1.0,1,2,0
13000.0,4,9,0,177,5,0.6551724137931034,1,2,0
5250.0,7,3,1,116,175,1.0,1,35,0
1100.0,2,1,1,41,99,1.0,1,32,0
12800.0,0,11,1,140,37,0.31034482758620685,6,24,0
5500.0,0,5,1,140,160,1.0,1,36,0
16900.0,0,15,1,86,109,0.10344827586206896,6,36,0
8490.0,5,7,0,150,71,1.0,1,20,0
1499.0,2,4,1,60,78,0.8275862068965517,6,24,0
3949.0,3,8,1,86,208,1.0,1,10,0
2500.0,2,2,1,100,96,1.0,6,10,0
9900.0,4,0,0,214,193,0.8275862068965517,6,20,0
4350.0,0,7,1,140,160,1.0,1,36,0
6990.0,4,1,0,163,71,1.0,6,20,0
1190.0,2,1,1,60,78,1.0,6,24,0
2000.0,0,4,1,115,214,1.0,1,37,0
7499.0,4,1,0,230,71,1.0,6,20,0
3950.0,6,3,1,150,9,1.0,1,2,0
16750.0,3,10,1,140,189,0.8275862068965517,1,36,0
7450.0,2,13,0,71,99,0.10344827586206896,6,32,0
5100.0,3,3,1,136,207,1.0,1,36,0
8999.0,6,9,1,122,109,1.0,6,36,0
5300.0,6,11,1,60,6,0.44827586206896547,6,25,0
2400.0,2,3,1,59,143,0.5172413793103449,6,23,0
17400.0,0,12,0,204,26,1.0,6,1,1
3750.0,7,3,1,140,194,1.0,1,15,0
2750.0,0,7,1,105,134,1.0,6,6,0
8000.0,7,7,1,140,20,1.0,6,11,0
1990.0,0,2,1,101,160,1.0,1,36,0
17450.0,0,10,1,143,24,1.0,6,1,0
12500.0,6,9,1,92,23,0.5172413793103449,6,1,0
5000.0,5,1,0,116,9,0.5172413793103449,6,2,0
1700.0,2,5,1,88,6,1.0,6,25,0
10499.0,6,11,1,105,109,1.0,1,36,0
8349.0,4,5,1,163,193,1.0,6,20,0
7750.0,0,9,0,140,154,1.0,1,31,0
4500.0,6,8,1,105,48,1.0,1,9,0
6500.0,0,5,0,140,24,1.0,1,1,0
3180.0,0,1,1,192,13,1.0,6,2,0
3900.0,2,9,1,97,176,0.24137931034482757,6,15,0
1350.0,0,0,1,84,37,1.0,6,24,0
2999.0,6,5,1,69,95,0.8275862068965517,6,10,0
21500.0,7,12,0,163,127,0.3793103448275862,1,10,0
12990.0,6,6,0,218,226,1.0,1,2,0
3500.0,0,4,1,163,24,1.0,1,1,0
1300.0,6,1,1,150,109,1.0,6,36,0
3300.0,7,4,1,121,20,1.0,6,10,0
2990.0,0,5,1,110,6,1.0,1,25,0
22800.0,6,9,0,170,90,0.5172413793103449,1,20,0
2500.0,2,6,1,77,166,1.0,6,9,0
17000.0,2,14,1,136,75,0.10344827586206896,6,21,0
3900.0,2,7,1,150,48,1.0,6,9,0
7230.0,6,7,0,143,5,1.0,1,2,0
2450.0,3,1,1,145,105,1.0,6,10,0
15500.0,0,12,1,160,115,0.44827586206896547,1,24,0
6300.0,6,9,1,109,112,0.31034482758620685,6,12,0
4499.0,6,7,1,136,8,0.8275862068965517,1,25,0
4300.0,6,7,1,130,186,0.8275862068965517,1,27,0
6990.0,0,10,1,109,96,1.0,1,10,0
2500.0,0,2,1,101,109,1.0,1,36,0
17590.0,5,11,0,235,128,0.5172413793103449,1,27,0
2650.0,2,9,1,95,6,0.44827586206896547,6,25,1
4490.0,6,3,0,150,90,1.0,1,20,0
2500.0,0,3,1,116,146,1.0,6,10,0
1400.0,2,2,1,58,78,0.6551724137931034,6,24,0
7900.0,0,10,1,105,109,0.8275862068965517,1,36,0
13000.0,3,8,1,170,207,1.0,1,36,0
3500.0,0,1,1,101,160,1.0,1,36,0
2300.0,2,5,1,80,20,1.0,6,19,0
1700.0,0,1,1,116,96,1.0,1,10,0
6300.0,0,7,1,105,23,1.0,1,1,0
11490.0,6,13,1,105,205,0.10344827586206896,6,30,0
5500.0,3,3,1,136,207,1.0,1,36,0
6900.0,2,12,1,69,11,0.5172413793103449,6,9,0
8888.0,4,5,1,170,75,1.0,6,21,0
6800.0,0,5,1,179,26,1.0,1,1,0
32700.0,5,15,0,156,20,0.034482758620689655,6,20,0
8900.0,6,9,1,160,115,0.8275862068965517,1,24,0
3950.0,6,3,1,156,183,1.0,6,13,0
2300.0,6,0,1,118,9,1.0,6,2,0
7600.0,6,4,1,177,13,1.0,1,2,0
4750.0,3,8,1,143,12,1.0,1,19,0
3500.0,6,2,1,101,23,1.0,1,1,0
9200.0,6,6,1,122,9,1.0,1,2,0
1800.0,0,2,1,101,37,1.0,6,24,0
6500.0,3,11,1,120,45,0.6551724137931034,6,5,0
2500.0,0,6,1,150,234,1.0,1,24,0
6300.0,3,9,1,114,223,1.0,1,24,0
1999.0,0,3,1,131,160,0.8275862068965517,6,36,1
1650.0,0,4,1,130,146,1.0,1,10,0
5400.0,6,6,1,116,28,0.5862068965517242,6,20,0
3900.0,2,5,1,80,95,0.1724137931034483,6,10,0
4500.0,6,2,1,150,90,1.0,1,20,0
4999.0,2,7,1,80,78,0.5862068965517242,6,24,0
2000.0,2,5,1,54,100,1.0,6,36,0
3250.0,3,3,0,177,20,1.0,1,27,0
2100.0,6,16,1,50,163,0.8275862068965517,6,36,0
4200.0,4,3,0,82,177,1.0,6,32,0
5999.0,4,3,1,75,44,0.8275862068965517,6,36,0
9850.0,3,10,0,140,109,0.6551724137931034,1,36,0
20500.0,5,13,0,143,5,0.3793103448275862,1,2,0
5199.0,2,9,1,80,78,0.3793103448275862,6,24,0
9700.0,5,8,1,160,187,1.0,6,36,0
16500.0,6,16,0,224,137,1.0,6,20,0
5900.0,0,9,1,150,37,1.0,1,24,0
2399.0,2,7,1,67,106,1.0,6,12,0
26990.0,7,13,0,177,204,0.3793103448275862,1,36,0
3950.0,0,6,1,155,146,1.0,1,10,0
1799.0,0,3,0,179,26,1.0,1,1,1
1200.0,2,0,1,50,135,1.0,6,36,0
2500.0,3,1,1,101,20,0.8275862068965517,6,19,0
11500.0,3,7,0,140,207,1.0,1,36,0
3299.0,2,9,1,95,6,1.0,6,25,0
20000.0,0,12,1,170,20,0.3793103448275862,1,9,0
2990.0,6,6,1,109,20,0.5862068965517242,6,3,0
2500.0,6,3,1,101,109,1.0,1,36,0
4350.0,0,6,1,122,54,1.0,1,20,0
6999.0,3,7,1,105,207,1.0,1,36,0
8690.0,6,6,0,231,16,1.0,1,2,1
18490.0,5,13,1,160,63,0.3793103448275862,6,36,0
1490.0,2,1,1,50,135,0.8275862068965517,6,36,0
3250.0,6,0,0,105,9,1.0,6,2,0
15200.0,7,11,1,129,110,0.3793103448275862,1,34,0
3499.0,0,3,1,131,160,1.0,1,36,0
3950.0,7,5,0,125,185,1.0,1,12,0
12000.0,0,9,1,143,24,1.0,1,1,0
6900.0,6,9,1,109,96,1.0,1,10,0
15300.0,0,13,1,115,55,0.31034482758620685,1,10,0
5800.0,2,0,1,75,22,0.5862068965517242,6,1,0
1350.0,3,3,1,128,20,1.0,1,5,0
6200.0,3,6,1,150,234,1.0,1,24,0
5450.0,0,4,0,204,9,1.0,1,2,0
4250.0,6,5,0,133,53,1.0,1,5,0
3490.0,6,3,1,101,109,1.0,1,36,0
10700.0,6,5,1,218,9,1.0,6,2,0
3250.0,6,7,0,68,49,0.8275862068965517,6,5,0
3800.0,6,5,1,88,20,1.0,6,36,0
1800.0,0,8,1,64,94,0.5862068965517242,6,31,1
1100.0,2,3,1,69,121,0.3793103448275862,6,10,0
13499.0,3,14,1,95,11,0.034482758620689655,6,9,0
3666.0,6,5,1,75,109,0.10344827586206896,6,36,1
2900.0,6,2,1,143,9,1.0,6,2,0
4490.0,2,7,0,71,99,0.5172413793103449,6,32,0
12600.0,6,11,1,117,170,0.3793103448275862,6,23,0
12800.0,6,11,0,184,13,0.8275862068965517,1,2,0
4199.0,3,6,1,140,33,1.0,1,30,0
15999.0,4,12,1,126,149,0.31034482758620685,6,19,0
2600.0,6,6,1,105,109,1.0,1,36,1
5100.0,3,6,1,109,57,1.0,0,36,0
26500.0,7,15,0,150,204,0.034482758620689655,6,36,0
3950.0,6,2,0,82,28,0.3793103448275862,6,20,0
7990.0,0,7,1,170,24,1.0,1,1,0
1111.0,3,5,1,101,20,1.0,1,5,1
4899.0,0,1,1,170,54,1.0,1,20,0
2350.0,6,0,1,120,20,1.0,6,28,0
3650.0,3,4,1,136,55,1.0,1,10,0
6190.0,0,3,1,150,90,1.0,1,20,0
5000.0,2,11,1,69,166,0.44827586206896547,6,9,0
31700.0,6,10,0,235,226,0.8275862068965517,1,2,0
4999.0,2,6,1,80,78,0.44827586206896547,6,24,0
16650.0,3,15,1,125,55,0.24137931034482757,6,10,0
1699.0,6,16,1,125,60,1.0,6,22,0
1099.0,2,1,1,45,212,1.0,6,27,0
7900.0,2,12,1,84,184,0.10344827586206896,6,6,0
2750.0,2,4,1,60,166,0.44827586206896547,6,9,0
2399.0,0,2,1,101,160,1.0,1,36,0
3350.0,0,4,1,101,37,1.0,1,24,0
12900.0,6,6,0,224,20,1.0,1,20,0
1590.0,2,1,1,50,135,0.8275862068965517,6,36,0
5600.0,0,5,1,140,207,1.0,1,36,0
21900.0,0,13,1,163,146,0.1724137931034483,1,10,0
2999.0,2,9,1,75,184,0.8275862068965517,6,6,0
5000.0,6,5,0,109,28,0.8275862068965517,1,20,0
6300.0,0,6,1,129,39,0.8275862068965517,6,35,0
3400.0,2,5,1,75,113,0.8275862068965517,6,30,1
2550.0,5,0,1,90,20,0.31034482758620685,6,5,0
11000.0,4,7,1,116,75,0.5862068965517242,6,21,0
7250.0,0,11,1,105,154,1.0,1,31,0
1999.0,2,4,1,80,95,0.6551724137931034,6,10,0
3990.0,6,5,1,110,77,1.0,6,35,0
4200.0,0,6,1,90,96,0.5172413793103449,1,10,0
5300.0,6,5,0,218,13,1.0,1,2,0
2100.0,2,3,0,61,99,1.0,6,32,0
7000.0,6,5,1,170,13,1.0,6,2,0
